"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.085119,0.59808,0.0016576,-0.0012648,1,0.152,0.95,0,-0.848
0.088279,0.60535,0.0016023,-0.0011266,1,0.154,0.95,0,-0.846
0.089535,0.60835,0.0015517,-0.0010727,1,0.156,0.95,0,-0.844
0.090792,0.61134,0.0015011,-0.0010188,1,0.158,0.95,0,-0.842
0.092049,0.61434,0.0014504,-0.00096489,1,0.16,0.95,0,-0.84
0.090095,0.60975,0.0013323,-0.0010664,1,0.162,0.95,0,-0.838
0.088141,0.60517,0.0012142,-0.001168,1,0.164,0.95,0,-0.836
0.086187,0.60058,0.0010961,-0.0012695,1,0.166,0.95,0,-0.834
0.082516,0.59223,0.00090579,-0.0014434,1,0.168,0.95,0,-0.832
0.077986,0.58201,0.0006794,-0.0016534,1,0.17,0.95,0,-0.83
0.073457,0.57178,0.00045301,-0.0018635,1,0.172,0.95,0,-0.828
0.068455,0.56081,0.00020632,-0.0020808,1,0.174,0.95,0,-0.826
0.06251,0.54836,-8.0945e-05,-0.0023127,1,0.176,0.95,0,-0.824
0.056565,0.53591,-0.00036821,-0.0025447,1,0.178,0.95,0,-0.822
0.050619,0.52347,-0.00065548,-0.0027766,1,0.18,0.95,0,-0.82
0.044274,0.51137,-0.00090484,-0.0029553,1,0.182,0.95,0,-0.818
0.037928,0.49928,-0.0011542,-0.0031341,1,0.184,0.95,0,-0.816
0.031583,0.48718,-0.0014036,-0.0033128,1,0.186,0.95,0,-0.814
0.025368,0.47585,-0.0015755,-0.0034284,1,0.188,0.95,0,-0.812
0.019218,0.46491,-0.0017087,-0.0035124,1,0.19,0.95,0,-0.81
0.013068,0.45396,-0.0018419,-0.0035964,1,0.192,0.95,0,-0.808
0.0070724,0.44324,-0.0019301,-0.0036459,1,0.194,0.95,0,-0.806
0.0013869,0.43294,-0.0019284,-0.0036264,1,0.196,0.95,0,-0.804
-0.0042988,0.42264,-0.0019267,-0.0036069,1,0.198,0.95,0,-0.802
-0.0099844,0.41234,-0.001925,-0.0035873,1,0.2,0.95,0,-0.8
-0.015076,0.40181,-0.0018271,-0.003476,1,0.202,0.95,0,-0.798
-0.020168,0.39128,-0.0017292,-0.0033648,1,0.204,0.95,0,-0.796
-0.02526,0.38075,-0.0016313,-0.0032535,1,0.206,0.95,0,-0.794
-0.029882,0.36972,-0.0015153,-0.0030988,1,0.208,0.95,0,-0.792
-0.034268,0.35845,-0.0013902,-0.0029223,1,0.21,0.95,0,-0.79
-0.038654,0.34718,-0.0012652,-0.0027458,1,0.212,0.95,0,-0.788
-0.042763,0.33576,-0.0011546,-0.0025606,1,0.214,0.95,0,-0.786
-0.046317,0.32406,-0.0010729,-0.0023577,1,0.216,0.95,0,-0.784
-0.049871,0.31236,-0.00099125,-0.0021548,1,0.218,0.95,0,-0.782
-0.053425,0.30065,-0.00090959,-0.0019519,1,0.22,0.95,0,-0.78
-0.056037,0.28978,-0.00091882,-0.001765,1,0.222,0.95,0,-0.778
-0.058649,0.27891,-0.00092806,-0.0015781,1,0.224,0.95,0,-0.776
-0.061262,0.26803,-0.00093729,-0.0013912,1,0.226,0.95,0,-0.774
-0.063211,0.25901,-0.0010064,-0.0012395,1,0.228,0.95,0,-0.772
-0.064829,0.25091,-0.0011053,-0.0011054,1,0.23,0.95,0,-0.77
