"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.080298,0.58901,0.001902,-0.027914,1,0.156,0.95,0,-0.844
0.084666,0.59863,0.001723,-0.027715,1,0.158,0.95,0,-0.842
0.089035,0.60825,0.001544,-0.027517,1,0.16,0.95,0,-0.84
0.089373,0.60892,0.0013131,-0.027507,1,0.162,0.95,0,-0.838
0.089711,0.6096,0.0010822,-0.027498,1,0.164,0.95,0,-0.836
0.090049,0.61027,0.00085132,-0.027488,1,0.166,0.95,0,-0.834
0.090388,0.61095,0.00062043,-0.027479,1,0.168,0.95,0,-0.832
0.090726,0.61162,0.00038952,-0.027469,1,0.17,0.95,0,-0.83
0.086857,0.60284,0.00012441,-0.027663,1,0.172,0.95,0,-0.828
0.082988,0.59406,-0.00014071,-0.027857,1,0.174,0.95,0,-0.826
0.079118,0.58528,-0.00040583,-0.028051,1,0.176,0.95,0,-0.824
0.075249,0.5765,-0.00067094,-0.028245,1,0.178,0.95,0,-0.822
0.07138,0.56772,-0.00093606,-0.028439,1,0.18,0.95,0,-0.82
0.065342,0.55535,-0.0011671,-0.028669,1,0.182,0.95,0,-0.818
0.059303,0.54297,-0.0013981,-0.0289,1,0.184,0.95,0,-0.816
0.053264,0.5306,-0.0016291,-0.02913,1,0.186,0.95,0,-0.814
0.047226,0.51822,-0.0018601,-0.029361,1,0.188,0.95,0,-0.812
0.041187,0.50585,-0.0020911,-0.029591,1,0.19,0.95,0,-0.81
0.034987,0.49448,-0.0021739,-0.02971,1,0.192,0.95,0,-0.808
0.028785,0.48312,-0.0022567,-0.029828,1,0.194,0.95,0,-0.806
0.022585,0.47175,-0.0023395,-0.029946,1,0.196,0.95,0,-0.804
0.016384,0.46039,-0.0024224,-0.030064,1,0.198,0.95,0,-0.802
0.010183,0.44903,-0.0025052,-0.030182,1,0.2,0.95,0,-0.8
0.0046405,0.4387,-0.0024021,-0.030151,1,0.202,0.95,0,-0.798
-0.00090177,0.42838,-0.002299,-0.030119,1,0.204,0.95,0,-0.796
-0.006444,0.41806,-0.002196,-0.030087,1,0.206,0.95,0,-0.794
-0.011986,0.40773,-0.0020929,-0.030056,1,0.208,0.95,0,-0.792
-0.017529,0.39741,-0.0019899,-0.030024,1,0.21,0.95,0,-0.79
-0.022145,0.38658,-0.0018021,-0.029875,1,0.212,0.95,0,-0.788
-0.026762,0.37575,-0.0016144,-0.029726,1,0.214,0.95,0,-0.786
-0.031379,0.36491,-0.0014267,-0.029577,1,0.216,0.95,0,-0.784
-0.035996,0.35408,-0.0012389,-0.029427,1,0.218,0.95,0,-0.782
-0.040612,0.34325,-0.0010512,-0.029278,1,0.22,0.95,0,-0.78
-0.044052,0.33191,-0.00091859,-0.02908,1,0.222,0.95,0,-0.778
-0.047492,0.32056,-0.000786,-0.028881,1,0.224,0.95,0,-0.776
-0.050932,0.30921,-0.0006534,-0.028682,1,0.226,0.95,0,-0.774
-0.054371,0.29787,-0.00052081,-0.028484,1,0.228,0.95,0,-0.772
-0.057811,0.28652,-0.00038821,-0.028285,1,0.23,0.95,0,-0.77
-0.05988,0.27719,-0.00039029,-0.02812,1,0.232,0.95,0,-0.768
-0.061949,0.26787,-0.00039237,-0.027955,1,0.234,0.95,0,-0.766
-0.064017,0.25854,-0.00039445,-0.02779,1,0.236,0.95,0,-0.764
-0.066086,0.24922,-0.00039653,-0.027624,1,0.238,0.95,0,-0.762
-0.068155,0.23989,-0.00039861,-0.027459,1,0.24,0.95,0,-0.76
-0.068803,0.2363,-0.00050454,-0.027393,1,0.242,0.95,0,-0.758
-0.069452,0.2327,-0.00061047,-0.027327,1,0.244,0.95,0,-0.756
-0.070101,0.22911,-0.0007164,-0.027261,1,0.246,0.95,0,-0.754
-0.070749,0.22551,-0.00082233,-0.027195,1,0.248,0.95,0,-0.752
-0.071398,0.22191,-0.00092826,-0.027129,1,0.25,0.95,0,-0.75
-0.070645,0.22582,-0.0010069,-0.027185,1,0.252,0.95,0,-0.748
-0.069891,0.22972,-0.0010855,-0.027242,1,0.254,0.95,0,-0.746
-0.069138,0.23363,-0.0011642,-0.027298,1,0.256,0.95,0,-0.744
-0.068385,0.23753,-0.0012428,-0.027354,1,0.258,0.95,0,-0.742
-0.067631,0.24144,-0.0013214,-0.02741,1,0.26,0.95,0,-0.74
-0.065455,0.25097,-0.0012501,-0.027565,1,0.262,0.95,0,-0.738
-0.063278,0.26051,-0.0011788,-0.02772,1,0.264,0.95,0,-0.736
-0.061102,0.27004,-0.0011075,-0.027876,1,0.266,0.95,0,-0.734
-0.058925,0.27958,-0.0010362,-0.028031,1,0.268,0.95,0,-0.732
-0.056749,0.28911,-0.00096491,-0.028186,1,0.27,0.95,0,-0.73
-0.053197,0.30059,-0.00072916,-0.028373,1,0.272,0.95,0,-0.728
-0.049645,0.31208,-0.00049343,-0.028561,1,0.274,0.95,0,-0.726
-0.046093,0.32356,-0.00025769,-0.028748,1,0.276,0.95,0,-0.724
-0.042542,0.33504,-2.1951e-05,-0.028935,1,0.278,0.95,0,-0.722
-0.03899,0.34653,0.00021378,-0.029123,1,0.28,0.95,0,-0.72
-0.034256,0.35755,0.00051428,-0.029259,1,0.282,0.95,0,-0.718
-0.029523,0.36857,0.00081476,-0.029396,1,0.284,0.95,0,-0.716
-0.024789,0.37959,0.0011153,-0.029533,1,0.286,0.95,0,-0.714
-0.020055,0.39061,0.0014157,-0.029669,1,0.288,0.95,0,-0.712
-0.015322,0.40163,0.0017162,-0.029806,1,0.29,0.95,0,-0.71
-0.009668,0.41228,0.0019342,-0.029825,1,0.292,0.95,0,-0.708
-0.0040141,0.42293,0.0021521,-0.029844,1,0.294,0.95,0,-0.706
0.0016396,0.43358,0.00237,-0.029862,1,0.296,0.95,0,-0.704
0.0072933,0.44424,0.002588,-0.029881,1,0.298,0.95,0,-0.702
0.012947,0.45489,0.0028059,-0.0299,1,0.3,0.95,0,-0.7
0.019216,0.46663,0.0028553,-0.029772,1,0.302,0.95,0,-0.698
0.025485,0.47837,0.0029047,-0.029645,1,0.304,0.95,0,-0.696
0.031753,0.49011,0.0029541,-0.029518,1,0.306,0.95,0,-0.694
0.038022,0.50184,0.0030035,-0.02939,1,0.308,0.95,0,-0.692
0.044291,0.51358,0.0030529,-0.029263,1,0.31,0.95,0,-0.69
0.050242,0.52592,0.0029566,-0.029038,1,0.312,0.95,0,-0.688
0.056193,0.53827,0.0028604,-0.028813,1,0.314,0.95,0,-0.686
0.062143,0.55061,0.0027642,-0.028589,1,0.316,0.95,0,-0.684
0.068094,0.56295,0.002668,-0.028364,1,0.318,0.95,0,-0.682
0.074045,0.57529,0.0025718,-0.028139,1,0.32,0.95,0,-0.68
0.077582,0.5832,0.0023742,-0.027976,1,0.322,0.95,0,-0.678
0.081119,0.5911,0.0021767,-0.027813,1,0.324,0.95,0,-0.676
0.084656,0.59901,0.0019791,-0.027649,1,0.326,0.95,0,-0.674
0.088193,0.60692,0.0017815,-0.027486,1,0.328,0.95,0,-0.672
0.09173,0.61482,0.001584,-0.027323,1,0.33,0.95,0,-0.67
0.091003,0.6129,0.0012947,-0.027375,1,0.332,0.95,0,-0.668
0.090277,0.61098,0.0010054,-0.027426,1,0.334,0.95,0,-0.666
0.08955,0.60906,0.00071608,-0.027478,1,0.336,0.95,0,-0.664
0.088823,0.60714,0.00042679,-0.027529,1,0.338,0.95,0,-0.662
0.088096,0.60522,0.0001375,-0.027581,1,0.34,0.95,0,-0.66
0.083601,0.59496,-0.00020362,-0.027807,1,0.342,0.95,0,-0.658
0.079105,0.5847,-0.00054473,-0.028032,1,0.344,0.95,0,-0.656
0.074609,0.57445,-0.00088585,-0.028258,1,0.346,0.95,0,-0.654
0.070114,0.56419,-0.001227,-0.028483,1,0.348,0.95,0,-0.652
0.065618,0.55393,-0.0015681,-0.028709,1,0.35,0.95,0,-0.65
0.059582,0.54165,-0.001846,-0.02893,1,0.352,0.95,0,-0.648
0.053545,0.52937,-0.0021239,-0.029151,1,0.354,0.95,0,-0.646
0.047509,0.51709,-0.0024018,-0.029372,1,0.356,0.95,0,-0.644
0.041472,0.5048,-0.0026797,-0.029593,1,0.358,0.95,0,-0.642
0.035436,0.49252,-0.0029576,-0.029814,1,0.36,0.95,0,-0.64
0.029556,0.48177,-0.0030427,-0.029909,1,0.362,0.95,0,-0.638
0.023675,0.47101,-0.0031278,-0.030003,1,0.364,0.95,0,-0.636
0.017795,0.46025,-0.0032128,-0.030097,1,0.366,0.95,0,-0.634
0.011914,0.4495,-0.0032979,-0.030192,1,0.368,0.95,0,-0.632
0.0060337,0.43874,-0.003383,-0.030286,1,0.37,0.95,0,-0.63
0.00087287,0.42887,-0.0032717,-0.030235,1,0.372,0.95,0,-0.628
-0.0042881,0.41901,-0.0031603,-0.030184,1,0.374,0.95,0,-0.626
-0.0094489,0.40914,-0.003049,-0.030133,1,0.376,0.95,0,-0.624
-0.01461,0.39927,-0.0029377,-0.030082,1,0.378,0.95,0,-0.622
-0.019771,0.3894,-0.0028264,-0.030031,1,0.38,0.95,0,-0.62
-0.024032,0.37889,-0.0026454,-0.029871,1,0.382,0.95,0,-0.618
-0.028294,0.36838,-0.0024645,-0.029712,1,0.384,0.95,0,-0.616
-0.032556,0.35787,-0.0022835,-0.029552,1,0.386,0.95,0,-0.614
-0.036817,0.34736,-0.0021026,-0.029393,1,0.388,0.95,0,-0.612
-0.041079,0.33685,-0.0019217,-0.029233,1,0.39,0.95,0,-0.61
-0.044238,0.32579,-0.0018117,-0.029031,1,0.392,0.95,0,-0.608
-0.047397,0.31473,-0.0017018,-0.028828,1,0.394,0.95,0,-0.606
-0.050556,0.30367,-0.0015919,-0.028626,1,0.396,0.95,0,-0.604
-0.053715,0.29262,-0.001482,-0.028424,1,0.398,0.95,0,-0.602
-0.056875,0.28156,-0.0013721,-0.028221,1,0.4,0.95,0,-0.6
