"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.070887,0.24338,-0.0012606,0.0016213,1,0.154,0.95,0,-0.846
-0.07059,0.24462,-0.0011914,0.0015964,1,0.156,0.95,0,-0.844
-0.070294,0.24586,-0.0011223,0.0015714,1,0.158,0.95,0,-0.842
-0.069997,0.2471,-0.0010532,0.0015464,1,0.16,0.95,0,-0.84
-0.067108,0.25647,-0.00084673,0.0013697,1,0.162,0.95,0,-0.838
-0.064219,0.26583,-0.00064028,0.001193,1,0.164,0.95,0,-0.836
-0.06133,0.2752,-0.00043383,0.0010163,1,0.166,0.95,0,-0.834
-0.058441,0.28456,-0.00022739,0.00083962,1,0.168,0.95,0,-0.832
-0.055552,0.29393,-2.0937e-05,0.00066292,1,0.17,0.95,0,-0.83
-0.052663,0.30329,0.00018551,0.00048622,1,0.172,0.95,0,-0.828
-0.049022,0.31351,0.00040578,0.00030902,1,0.174,0.95,0,-0.826
-0.043879,0.32542,0.00065367,0.00013084,1,0.176,0.95,0,-0.824
-0.038737,0.33734,0.00090157,-4.7343e-05,1,0.178,0.95,0,-0.822
-0.033594,0.34926,0.0011495,-0.00022553,1,0.18,0.95,0,-0.82
-0.028451,0.36117,0.0013974,-0.00040371,1,0.182,0.95,0,-0.818
-0.023308,0.37309,0.0016453,-0.0005819,1,0.184,0.95,0,-0.816
-0.018165,0.385,0.0018932,-0.00076008,1,0.186,0.95,0,-0.814
-0.011974,0.39726,0.0019865,-0.0008268,1,0.188,0.95,0,-0.812
-0.0052604,0.40969,0.0020025,-0.00083778,1,0.19,0.95,0,-0.81
0.0014536,0.42212,0.0020185,-0.00084877,1,0.192,0.95,0,-0.808
0.0081678,0.43455,0.0020346,-0.00085975,1,0.194,0.95,0,-0.806
0.014882,0.44698,0.0020506,-0.00087074,1,0.196,0.95,0,-0.804
0.021596,0.45941,0.0020666,-0.00088172,1,0.198,0.95,0,-0.802
0.02831,0.47184,0.0020826,-0.00089271,1,0.2,0.95,0,-0.8
0.035139,0.48497,0.001962,-0.00071804,1,0.202,0.95,0,-0.798
0.041969,0.49811,0.0018414,-0.00054339,1,0.204,0.95,0,-0.796
0.048798,0.51124,0.0017208,-0.00036873,1,0.206,0.95,0,-0.794
0.055628,0.52437,0.0016002,-0.00019406,1,0.208,0.95,0,-0.792
0.062457,0.53751,0.0014796,-1.9406e-05,1,0.21,0.95,0,-0.79
0.069286,0.55064,0.001359,0.00015526,1,0.212,0.95,0,-0.788
0.075031,0.56188,0.001219,0.00031717,1,0.214,0.95,0,-0.786
0.078607,0.56932,0.0010401,0.00045358,1,0.216,0.95,0,-0.784
0.082183,0.57676,0.00086131,0.00058999,1,0.218,0.95,0,-0.782
0.085759,0.5842,0.00068247,0.0007264,1,0.22,0.95,0,-0.78
0.089334,0.59164,0.00050364,0.00086281,1,0.222,0.95,0,-0.778
0.09291,0.59908,0.00032481,0.00099921,1,0.224,0.95,0,-0.776
