"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.073689,0.22833,-0.00016871,0.0049447,1,0.156,0.95,0,-0.844
-0.074822,0.22451,-3.5272e-05,0.0050225,1,0.158,0.95,0,-0.842
-0.075955,0.22068,9.8172e-05,0.0051004,1,0.16,0.95,0,-0.84
-0.073541,0.22817,0.00015628,0.0049837,1,0.162,0.95,0,-0.838
-0.071128,0.23565,0.00021439,0.004867,1,0.164,0.95,0,-0.836
-0.068715,0.24314,0.0002725,0.0047503,1,0.166,0.95,0,-0.834
-0.066301,0.25062,0.00033061,0.0046336,1,0.168,0.95,0,-0.832
-0.063888,0.25811,0.00038872,0.0045169,1,0.17,0.95,0,-0.83
-0.061475,0.2656,0.00044682,0.0044002,1,0.172,0.95,0,-0.828
-0.059061,0.27308,0.00050493,0.0042835,1,0.174,0.95,0,-0.826
-0.056648,0.28057,0.00056304,0.0041668,1,0.176,0.95,0,-0.824
-0.054234,0.28805,0.00062115,0.0040501,1,0.178,0.95,0,-0.822
-0.051821,0.29554,0.00067926,0.0039334,1,0.18,0.95,0,-0.82
-0.046514,0.3092,0.00047881,0.0038308,1,0.182,0.95,0,-0.818
-0.041207,0.32285,0.00027836,0.0037281,1,0.184,0.95,0,-0.816
-0.0359,0.33651,7.7909e-05,0.0036254,1,0.186,0.95,0,-0.814
-0.030593,0.35017,-0.00012255,0.0035228,1,0.188,0.95,0,-0.812
-0.025286,0.36383,-0.00032299,0.0034201,1,0.19,0.95,0,-0.81
-0.019979,0.37748,-0.00052344,0.0033174,1,0.192,0.95,0,-0.808
-0.014672,0.39114,-0.0007239,0.0032148,1,0.194,0.95,0,-0.806
-0.0093645,0.4048,-0.00092434,0.0031121,1,0.196,0.95,0,-0.804
-0.0040574,0.41846,-0.0011248,0.0030094,1,0.198,0.95,0,-0.802
0.0012496,0.43211,-0.0013252,0.0029068,1,0.2,0.95,0,-0.8
0.0075774,0.44482,-0.0011336,0.0030668,1,0.202,0.95,0,-0.798
0.013905,0.45752,-0.000942,0.0032269,1,0.204,0.95,0,-0.796
0.020233,0.47022,-0.00075037,0.0033869,1,0.206,0.95,0,-0.794
0.02656,0.48292,-0.00055875,0.003547,1,0.208,0.95,0,-0.792
0.032888,0.49562,-0.00036712,0.003707,1,0.21,0.95,0,-0.79
0.039216,0.50833,-0.0001755,0.0038671,1,0.212,0.95,0,-0.788
0.045543,0.52103,1.6127e-05,0.0040272,1,0.214,0.95,0,-0.786
0.051871,0.53373,0.00020776,0.0041872,1,0.216,0.95,0,-0.784
0.058199,0.54643,0.00039938,0.0043473,1,0.218,0.95,0,-0.782
0.064527,0.55914,0.00059101,0.0045073,1,0.22,0.95,0,-0.78
0.06636,0.56245,0.00085164,0.0045746,1,0.222,0.95,0,-0.778
0.068193,0.56576,0.0011123,0.0046418,1,0.224,0.95,0,-0.776
0.070027,0.56907,0.0013729,0.004709,1,0.226,0.95,0,-0.774
0.07186,0.57238,0.0016336,0.0047763,1,0.228,0.95,0,-0.772
0.073694,0.57569,0.0018942,0.0048435,1,0.23,0.95,0,-0.77
0.075527,0.57901,0.0021548,0.0049107,1,0.232,0.95,0,-0.768
0.077361,0.58232,0.0024155,0.004978,1,0.234,0.95,0,-0.766
0.079194,0.58563,0.0026761,0.0050452,1,0.236,0.95,0,-0.764
0.081027,0.58894,0.0029368,0.0051124,1,0.238,0.95,0,-0.762
0.082861,0.59225,0.0031974,0.0051797,1,0.24,0.95,0,-0.76
0.078357,0.5839,0.0032466,0.0049575,1,0.242,0.95,0,-0.758
0.073854,0.57554,0.0032958,0.0047354,1,0.244,0.95,0,-0.756
0.069351,0.56718,0.003345,0.0045133,1,0.246,0.95,0,-0.754
